transfer_dollars	benefactor_hash	benefactor_new_zero	recipient_hash	recipient_new_zero
5657.88	802480fa81	2026-07-18	0bd4cb6699	2026-06-14
6554.25	debc5c642a	2026-06-26	3b0876e0a4	2026-06-14
5151.78	f931ea2812	2026-07-15	6a3f545d77	2026-06-14
5356.01	5e06f8ec2f	2026-07-01	73b8e5b920	2026-06-14
6603.17	155899cb3f	2026-06-14	a02bd9c4a3	2026-06-05
6443.91	929eab3fbf	2026-06-14	a8d717db54	2026-06-10
4631.48	f24f2d361a	2026-07-08	0c4b5ebb67	2026-06-14
4927.30	937a69af57	2026-07-03	96ec53ba8f	2026-06-14
4681.63	7b39d91d95	2026-07-01	d39b41b7b5	2026-06-14
4685.17	88b8a3742d	2026-06-28	435690a855	2026-06-14
4605.62	1d5373e045	2026-06-30	b662dec4f3	2026-06-14
4781.10	097f0134ea	2026-06-23	de366331ca	2026-06-14
4524.29	c8b69cfcfb	2026-06-19	4731fb6dc1	2026-06-14
4538.12	cdef293524	2026-06-17	bed5aed980	2026-06-14
4462.77	08dea3d224	2026-06-14	e0c942d217	2026-06-14
3852.95	bbc343903b	2026-06-23	786eebe274	2026-06-14
4045.99	7e6a0c268a	2026-06-18	9d1ebbb52c	2026-06-14
3914.62	1630b2d7c4	2026-06-16	1bd4da7331	2026-06-14
3697.40	6c25008040	2026-06-19	9514a27d67	2026-06-14
3742.13	b6e3732b15	2026-06-14	b11bd40444	2026-06-14
3786.60	151191d414	2026-06-15	8cb33e56de	2026-06-14
3680.14	5291f7527d	2026-06-14	99f603af53	2026-06-13
3406.49	1f5557ffb6	2026-06-16	1589fa9e35	2026-06-14
3333.74	6f7a503750	2026-06-20	ecfe0440fb	2026-06-14
3199.58	82bd3e67fa	2026-06-21	32b454bcec	2026-06-14
3298.35	d677324df9	2026-06-15	11c936f4fc	2026-06-14
2998.53	12e6d40c89	2026-06-17	3381e46403	2026-06-14
2809.86	9d20ace1e9	2026-06-22	84b04d68e6	2026-06-14
2634.85	f6a310b4e2	2026-06-23	185e89d1bf	2026-06-14
2753.86	9aa2435376	2026-06-18	d6c7e1a39a	2026-06-14
2374.95	71bc396d53	2026-06-24	2ecd38c9a5	2026-06-14
2432.68	bc8f4a7054	2026-06-20	dd6d153e44	2026-06-14
2180.52	5ea65bdb29	2026-06-24	fcdd222dbd	2026-06-14
1857.22	7b63ef4947	2026-06-23	933343b9ea	2026-06-14
1881.21	0e8b05ec65	2026-06-21	884d5edfa5	2026-06-14
1724.57	6d9ea00aa3	2026-06-23	e518e3e8dd	2026-06-14
1558.88	bad79b864c	2026-06-27	b0f2130cfb	2026-06-14
1614.56	cdfd4ebac6	2026-06-25	d634f008a6	2026-06-14
1536.63	049340dfc3	2026-06-21	e8a7d0f1e0	2026-06-14
1565.52	164bf68ab0	2026-06-16	a398f6c43a	2026-06-14
1318.72	71d5264c77	2026-06-20	a25a28121b	2026-06-14
1117.91	74a73db936	2026-06-21	a009cf0197	2026-06-14
1151.56	5e5824813d	2026-06-17	cf1e7e5791	2026-06-14
1069.52	9d35fdeb85	2026-06-14	15c4f743df	2026-06-14
975.85	916b0d0934	2026-06-14	61b40bf5c0	2026-06-14
559.52	da71505132	2026-06-20	d417d98633	2026-06-14
441.29	e67e8c5e51	2026-06-14	9f20604447	2026-06-14
